userName,score,content,at
khoirunnisa Septiyani,1,pemainnya pada afk,2026-02-17 13:52:05
Herman,5,bagus banget,2026-02-17 13:52:00
Ayundha Awindha Aprilia,1,"honestly aku udah pake tiktok lama bgt, dan ya bagus bagus aja, but ini kok pas aku download ulang akun ku literally chatnya ilang semua? dan tampilannya malah kyk tiktok lite padahal download nya tiktok biasa. dan pas sebelum aku download ulang itu akun ku malah gabisa buka komentar di setiap video manapun dan aku gabisa pindah akun. katanya gara gara masalah internet tapi internet ku aman aman aja dan anggota keluarga ku juga bisa bisa aja tuh internetnya. gimana sih ini tiktok gajelas bgt dh.",2026-02-17 13:49:04
Munawaroh Anggraini,1,Tidak bisa hapus video dengan kerjang kuning,2026-02-17 13:45:23
Cahya Naff,4,hiburan cuan,2026-02-17 13:43:04
kopra Kopra,4,kenapa masuk di tik tok lama sekali,2026-02-17 13:42:05
Nawaf hasby hilmi Hilmi,4,bagus tapi live saya di ilang in kenapa nya,2026-02-17 13:41:54
Andri Krisnar,3,"tolong hilangkan bug saat memakai filter ny ya, layar ny menjadi itam, muka saya juga jdi hitam, itu sngt membuat saya tidak nyaman.",2026-02-17 13:40:45
Febiola KhoirunNisa,1,saat mau download lama,2026-02-17 13:40:40
Rinang Santosa,2,kadang kadang kalau di download lama,2026-02-17 13:40:38
Dian Oktavia,5,pengikut tiktok makin menurun GK kayak pertamanya,2026-02-17 13:40:38
Baskon,5,5 bintang ijin masuk klu bgus,2026-02-17 13:40:05
Yasmine Azzahraa06,5,kuranngin iklannya ya,2026-02-17 13:39:38
chikaaprianti Chika,1,d aku ko gak ada keranjang nya d perbaharui susha,2026-02-17 13:36:39
iffa astila rahma,5,bagus,2026-02-17 13:34:07
Riski Raditia paratama,5,mantap,2026-02-17 13:33:34
FOURTEEN 14,1,"jangan di download, mau buat video aja malah diisukan vidio kita padahal gak ada sama sekali unsur gak cipta",2026-02-17 13:32:41
Siti muslikah Ikha,5,"halo kak, kenapa tiktok shop GK ada ya",2026-02-17 13:31:56
Diki Saputra,4,👍,2026-02-17 13:30:55
Astri Neng,5,Bagus,2026-02-17 13:30:23
Amri Sadewa,1,"percuma main tiktok.. pelanggaran nya tidak jelas ... dikit kena pelanggaran, gak ngpain2 pun kena pelanggaran.. aplikasi eror",2026-02-17 13:29:50
Faeyza Risqi,5,sangat membanty dan terhibur,2026-02-17 13:29:30
Yogi Hero,5,Apk ini penting untuk nonton,2026-02-17 13:28:48
Salsa Putri,5,baus baguss bangett bangett udah makek apk ini dari THN 2019,2026-02-17 13:28:30
Mulida,5,aku senang karena ada tiktok,2026-02-17 13:28:02
Janatun Alipa,1,ndk ada posting ulang nya,2026-02-17 13:27:38
Fann the kidss,1,makin kesini makin sering ngebug sumpah,2026-02-17 13:26:56
Asfa Syabani,3,"teruntuk developer nya tolong dong ini tiktoknya bawa GB banget, pantesan aja hp ku makin lag di pake, ternyata tiktok yg bikin hp ku jdi lag perbaiki lagi pliss🙏💗💗",2026-02-17 13:26:26
Talita Tata,5,ini aplikasi bagus tapi lemot,2026-02-17 13:26:25
John Produce Empat,4,terjadi error pada map lacak paket.. mohon segera di perbaiki,2026-02-17 13:26:21
mutiii,5,Alhamdulillah sudah kembali akun saya.,2026-02-17 13:26:04
Rusyidah 03,1,tiktok pilih kasihhh,2026-02-17 13:25:43
Raziq Wensyahputra,1,tiba tiba ga bisa scroll wifi lancar memori ga penuh ram 8 ga tau napa gj heg ga ada,2026-02-17 13:25:41
Nurul Wilden,5,saya b8sa bertemu atau chatan sama teman tanpa WhatsApp,2026-02-17 13:25:34
Adit Ya,5,adek ku kecanduan tiktok tapi lihat yang aneh aneh 18±,2026-02-17 13:25:03
Army Bos,5,sangat bermanfaat,2026-02-17 13:25:02
Faiza Alya,1,lagi dan lagi gw masuk ke akun lama gue/buat akun baru gw balik lagiiiiiiiiiii jadi gak punya akun.Woyy gimana ini😡😠😠,2026-02-17 13:22:55
Ratih Triwulanndari,5,Kusuka Tiktok 😍😍,2026-02-17 13:22:00
yanto paredes,1,malas dengan pembatasan usia masa sih harus 18+ baru bisa live,2026-02-17 13:21:06
Wiwi supriatin Wiwi,2,ngebug jaringan padahal jaringan cepet malah ngebug jaringan aneh gimana mau laporin masalah orang ngebug jaringan,2026-02-17 13:20:07
Hilton Samosir,2,kenapa akun tiktok saya rusak ga bisa ambil gody bag lagi atau zonk mulu pdhl beberapa hari lalu tidak begitu,2026-02-17 13:18:36
Dea,5,bagus,2026-02-17 13:18:19
Nanas Agustina,5,"kenapa nggk bisa buka komen,, udh dari kemarin komenan nggk bisa dibuka, nggk bisa follow,, nggk bisa buka video kiriman,, chace udh dihapus,udh log out log in, udh download ulang,udh restart hp, tetep nggk bisa juga, tolong......",2026-02-17 13:18:15
Sugg Eng,5,sugeng,2026-02-17 13:16:23
